Cluster,Position,Updated,Type,Requested,Alternative Name,Unit,Fuel Type,Net MW,Summer MW,Winter MW,County,State,Op Date,Sync Date,W/ D Date,Interconnection Location,Serv,SIS Complete,I39,TO Report,Dev,Zone,FS,SIS,OS,FAC,IA,Project Status
,419,2014-07-03 10:44:42.210,G,2013-05-02,Wind,WT,WND,33.00,33.00,33.00,Franklin,ME,2016-11-01,2016-10-01,2014-07-02,CMP 115 kV Bigalow Substation,NR,False,False,,PD,ME,,Not Started,,,,Under Study
,420,2020-12-14 08:26:48.736,G,2013-07-15,Weaver Wind,WT,WND,72.60,72.60,72.60,Hancock,ME,2020-12-12,2020-10-13,,Bull Hill Switching Station,NR,True,True,ISO-NE,PD,BHE,Document Posted,Document Posted,,Document Posted,Executed,In Service
,421,2017-04-11 10:11:47.805,G,2013-07-18,Spruce Ridge Wind CNR (see Q390),WT,WND,0.00,50.82,50.82,Grafton,NH,2017-10-31,2017-08-18,2017-04-10,NGRID 230 kV Comerford/Dunbarton Line,NR,False,False,,,NH,,,,,Executed,
,422,2019-05-14 10:55:47.330,G,2013-07-26,Number Nine Wind Farm CNR,WT,WND,0.00,250.00,250.00,Aroostook,ME,2021-10-31,2021-04-05,2019-05-13,"MEPCO line in Haynesville, ME",NR,False,False,,,BHE,,,,,Executed,
,423,2014-03-12 12:25:59.530,G,2013-09-10,Wind,WT,WND,74.29,74.29,74.29,Merrimack/Grafton,NH,2016-12-31,2016-10-01,2014-03-12,A201 Comerford - North Litchfield 230 kV line,CNR,False,False,,,NH,,In Progress,,,,Under Study
,424,2013-11-06 08:12:25.837,G,2013-09-11,Hydro Increase,HW,WAT,0.10,0.65,0.65,Hampden,MA,2014-01-01,2014-01-01,2013-11-05,HGE 115 kV North Canal substation,CNR,False,False,,,WMA,,,,,,
,425,2015-02-17 08:22:06.443,ETU,2013-09-23,1000 MW HVDC Tie V1,,,,,,Windsor,VT,2018-12-31,2018-10-31,2015-02-16,HQ 735 kV substation to Velco 345 kV Coolidge substation,,False,False,,,VT,,In Progress,,,,Under Study
,426,2015-02-17 08:22:37.760,ETU,2013-10-15,1000 MW HVDC Tie V2 (See Q425),,,,,,Rutland,VT,2018-12-31,2018-10-31,2015-02-16,HQ 735 kV substation to Velco 345 kV W. Rutland Substation,,False,False,,,VT,,,,,,
,427,2015-02-17 08:23:28.147,ETU,2013-10-15,1000 MW HVDC Tie V3 (See Q425),,,,,,Addison,VT,2018-12-31,2018-10-31,2015-02-16,HQ 735 kV substation to Velco 345 kV New Haven substation,,False,False,,,VT,,,,,,
,428,2015-02-17 08:24:03.590,ETU,2013-11-15,1200 MW AC to HVDC Tie,,,,,,Middlesex,MA,2019-03-31,2019-01-01,2015-02-16,NB 345 Keswick or St. Andre substation to GRID 345 kV Wakefield substation,,False,False,,,BOST,,,,,,
,429,2014-01-10 13:53:47.570,G,2013-12-02,Offshore Wind,WT,WND,12.00,12.00,12.00,Lincoln,ME,2017-11-06,2017-10-02,2014-01-10,"Central Maine Power, Bristol Substation, Bristol Maine",NR,False,False,,,ME,,,,,,
,430,2015-02-17 08:24:38.100,ETU,2014-01-13,Coos ETU,,,,,,Coos,NH,2016-07-01,2016-07-01,2015-02-16,TBD,,False,False,,,NH,,,,,,
,431,2014-01-29 08:07:07.070,TS,2014-01-14,Local Transmission Service - 99 MW,,,0.00,0.00,0.00,Coos,NH,2015-01-01,2015-01-01,2014-01-28,,,False,False,,,NH,,,,,,
,432,2017-03-28 15:56:22.142,ETU,2014-01-21,115 KV ETU,,,,,,Aroostook,ME,2017-07-31,2017-07-31,2014-05-14,MPS 69 kV Mullen substation to ME Gen Lead 115 kV line,,False,False,,,BHE,,,,,,
,433,2014-04-30 14:17:03.387,G,2014-01-24,MATEP (Combined Cycle) Increase,CC,DFO NG,1.70,62.08,66.00,Suffolk,MA,2014-04-21,2014-03-21,,At existing point of interconnection for MATEP (Combined Cycle),CNR,False,False,,,BOST,,,,,Executed,In Service
,434,2015-02-17 08:25:35.600,ETU,2014-01-29,Expand Interface,,,,,,Aroostook,ME,2017-11-01,2017-09-01,2015-02-16,TBD,,False,False,,,BHE,,,,,,
,435,2018-01-19 16:33:13.980,G,2014-01-31,Wind,WT,WND,103.50,103.50,103.50,Washington,ME,2018-12-31,2018-09-30,2018-01-19,"Bangor Hydro Epping Substation, Columbia, Washington County, ME",NR,False,False,,PD,BHE,Document Posted,In Progress,,,,Under Study
,436,2014-11-07 08:51:44.047,G,2014-02-05,Gas Turbine (alt. to QP412),GT,DFO NG,0.00,335.00,335.00,Fairfield,CT,2018-05-31,2018-02-01,2014-11-07,345 kV generator side connection to the transmission grid.,CNR,True,False,ISO-NE,PD,SWCT,,Document Posted,,,,
,437,2022-06-15 12:48:01.799,G,2014-02-10,Jericho Wind expansion,WT,WND,3.50,,,Coos,NH,2016-01-23,2015-10-16,,PSNH Berlin Substation Bus 1 Breaker 3521.,CNR,True,True,ISO-NE,,NH,,Document Posted,,,Executed,In Service
,438,2017-05-31 14:57:39.139,G,2014-02-24,Potter Repowering,GT,NG,-21.20,63.27,65.25,Norfolk,MA,2019-05-22,2019-02-22,2017-05-31,BELD Station 16 Switchyard,NR,True,True,ISO-NE,,SEMA,,Document Posted,,,Executed,
,439,2015-02-12 16:40:54.740,G,2014-02-24,Simple Cycle,GT,NG,478.00,478.00,483.00,Essex,MA,2018-05-01,2018-01-01,2015-02-12,"GRID Ward Hill – Tewksbury 345 kV line, approximately 1.8 miles from the Ward Hill",CNR,False,False,,,CMA,Document Posted,In Progress,,,,
,440,2018-05-08 08:05:21.169,G,2014-02-24,Wallingford Energy Center,GT,NG,100.00,350.00,350.00,New Haven,CT,2018-05-09,2017-12-07,,CMEEC 115 kV Wallingford Substation Generating facility.,CNR,True,True,ISO-NE,,SWCT,Document Posted,Document Posted,,,Executed,In Service
,441,2018-11-26 08:21:02.214,G,2014-02-25,Glendale Hydroelectric Expansion Project,HD,WAT,0.20,0.19,0.19,Berkshire,MA,2018-11-13,2018-11-07,,GRID 13.8 kV,CNR,True,False,NGRID,,WMA,,Document Posted,,,Executed,In Service
,442,2015-12-29 11:20:14.093,G,2014-02-26,Combined Cycle,CC,DFO NG,387.90,387.90,422.10,Hampden,MA,2019-03-01,2018-06-01,2015-12-28,"115kV Line 1302 between Buck Pond and Pochassic substations, approximately 1 mile south of Buck Pond.",CNR,True,True,ISO-NE,,WMA,,Document Posted,,,In Progress,
,443,2017-05-25 09:42:53.893,G,2014-03-03,Brockton Combined Cycle CNR Increase,CC,NG,0.00,354.90,383.90,Plymouth,MA,2019-05-31,2019-01-25,2017-05-25,Grid 115 kV E20 and F19 Lines,NR,False,False,,,SEMA,,,,,Executed,
,444,2019-05-02 14:12:16.930,G,2014-05-02,Medway Peaker - SEMARI,GT,DFO NG,207.70,207.70,207.70,Norfolk,MA,2019-03-14,2019-02-08,,Medway 115 kV station,CNR,True,True,ISO-NE,PD,SEMA,,Document Posted,,,Executed,In Service
,445,2015-03-02 11:49:34.017,G,2014-03-04,Gas Turbine,GT,DFO NG,103.50,103.50,103.50,Norfolk,MA,2018-05-31,2018-02-01,2015-03-02,Edgar 115 kV Station,CNR,False,False,,PD,SEMA,,In Progress,,,,Under Study
,446,2014-04-01 09:58:58.600,G,2014-03-04,Gas Turbine,GT,DFO NG,47.50,59.50,59.50,Chittenden,VT,2018-05-31,2018-03-31,2014-03-31,"Gorge substation, No. 16, Breaker 3320.",CNR,False,False,,,VT,,,,,,
,447,2024-08-29 14:16:37.020,G,2014-03-04,Passadumkeag Windpark CNR Only,WT,WND,0.00,39.97,39.97,Penobscot,ME,2016-07-01,2016-04-12,,115kV line between James River and Enfield substations on Line 64,NR,False,False,,,BHE,,,,,Executed,In Service
