Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Original Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Requested Maximum Injection Capability (MW),Requested Network Resource Deliverability (MW),Nameplate Capacity,Generation Type,Fuel Type,Substation or Line,Request Received,Date Withdrawn,Status,JTIQ Participant,JTIQ Commitment,Cause of Delay
GEN-2026-SR22,,Surplus,04 SOUTHEAST,Oxford,KS,WERE,,12/30/2028,,,150.00,150.00,150.00,ER,0.00,0.00,0.00,Battery/Storage,,Wild Plains 345kV Substation,5/4/2026,,SPECIAL STUDY,,,
GEN-2026-SR21,,Surplus,04 SOUTHEAST,South Coffeyville,OK,AEP,,12/31/2029,,,148.00,148.00,148.00,ER,0.00,0.00,0.00,Battery/Storage,,Farmland-Delaware 138kV line,5/28/2026,,SPECIAL STUDY,,,
GEN-2026-SR20,,Surplus,02 NEBRASKA,Lincoln,NE,LES,,6/1/2028,,,225.00,225.00,225.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Wagener 115kV Substation,3/26/2026,,SPECIAL STUDY,,,
GEN-2026-SR2,,Surplus,03 CENTRAL,Cimmaron,KS,SUNC,,12/1/2027,,,165.60,165.60,165.60,ER,0.00,0.00,0.00,Battery/Storage,,Buckner 345kV,12/19/2025,,SPECIAL STUDY,,,
GEN-2026-SR19,,Surplus,04 SOUTHEAST,Duncan,OK,AEP,,12/31/2028,,,200.00,200.00,200.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Lawton Eastside - Terry Road 345kV,3/30/2026,,SPECIAL STUDY,,,
GEN-2026-SR18,,Surplus,03 CENTRAL,Sarcoxie,MO,EDE,,1/31/2029,,,150.00,150.00,150.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,La Russell 161 kV Substation,3/6/2026,,SPECIAL STUDY,,,
GEN-2026-SR17,,Surplus,03 CENTRAL,Savonburg,KS,NEETS,,12/31/2029,,,204.30,204.30,204.30,NR,0.00,0.00,0.00,Battery/Storage,,Wolf Creek - Blackberry 345 kV Substation,3/16/2026,,SPECIAL STUDY,,,
GEN-2026-SR16,,Surplus,03 CENTRAL,McPherson,KS,WERE,,5/1/2028,,,300.00,300.00,300.00,ER,0.00,0.00,0.00,Battery/Storage,,Reno - Summit 345kV,2/16/2026,,SPECIAL STUDY,,,
GEN-2026-SR15,,Surplus,05 SOUTHWEST,Balko,OK,OGE,,2/14/2029,,,200.00,200.00,200.00,ER,0.00,0.00,0.00,Battery/Storage,,Beaver County - Woodward EHV Dbl Ckt (Badger) 345kV,1/19/2026,,SPECIAL STUDY,,,
GEN-2026-SR14,,Surplus,05 SOUTHWEST,Panhandle,TX,SPS,,12/29/2028,,,158.00,158.00,158.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Martin 115 kV Substation,1/16/2026,,SPECIAL STUDY,,,
GEN-2026-SR13,,Surplus,05 SOUTHWEST,Gruver,TX,SPS,,4/28/2027,,,208.00,208.00,208.00,ER,0.00,0.00,0.00,Battery/Storage,,Hitchland 345kV,1/17/2026,,SPECIAL STUDY,,,
GEN-2026-SR12,,Surplus,05 SOUTHWEST,Balko,OK,SPS,,12/2/2029,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Bull Creek 115 kV substation,1/18/2026,,SPECIAL STUDY,,,
GEN-2026-SR11,,Surplus,04 SOUTHEAST,Mill Creek,OK,OGE,,10/1/2028,,,258.00,258.00,258.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Johnson County 345kV Substation,1/26/2026,,SPECIAL STUDY,,,
GEN-2026-SR10,,Surplus,05 SOUTHWEST,Spearman,TX,SPS,,12/31/2027,,,457.00,457.00,457.00,ER,0.00,0.00,0.00,Battery/Storage,,Hitchland 345kV,1/14/2026,,SPECIAL STUDY,,,
GEN-2026-SR1,,Surplus,03 CENTRAL,Garden Plain,KS,WERE,,12/1/2026,,,100.00,100.00,100.00,ER/NR,0.00,0.00,0.00,Battery/Storage,,Buffalo Flats 345kV Substation,11/7/2025,,SPECIAL STUDY,,,
GEN-2026-PR9,,Priority Process,05 SOUTHWEST,Crosby County,TX,SPS,,12/1/2028,,,15.99,15.99,15.99,ER,0.00,0.00,0.00,Wind,,Tap Floyd County - Crosby County 115kV,2/28/2026,,SPECIAL STUDY,,,
