Project ID,ISO,Queue Date,Status,Withdrawn Date,Proposed Date,Study Cycle,Study Phase,POI Name,Transmission Owner,MW Capacity,Fuel Type
AF2-037,PJM,2019-11-29,Withdrawn,2025-01-22,2021-07-01,TC1,PHASE 2,Louisa-North Anna 230 kV,Dominion,56.40,Solar
AF2-063,PJM,2020-01-29,Withdrawn,2025-01-22,2023-02-01,TC1,PHASE 2,Louisa-North Anna 230 kV,Dominion,90.00,Solar
AF1-301,PJM,2019-09-30,Withdrawn,2024-06-24,2022-12-31,TC1,PHASE 1,Louisa-South Anna 230 kV,Dominion,70.00,Solar
AG2-213,PJM,2021-03-08,Active,,,TC2,PHASE 2,Gary D.P Tap - Gary D.P 115 kV,Dominion,48.00,Solar
AG2-171,PJM,2021-02-26,Active,,2027-12-31,TC2,PHASE 2,Lunenburg - Nutbush 115 kV,Dominion,36.00,Solar
AH1-378,PJM,2021-09-10,Withdrawn,2025-04-16,2025-06-01,TC2,PHASE 1,Lunenburg- Butcher Creek 115kV,Dominion,30.60,Solar
AG2-659,PJM,2021-03-31,Active,,,TC2,PHASE 2,Palmer Springs - Hawtree 115 kV,Dominion,48.00,Solar
AG2-341,PJM,2021-03-25,Active,,,TC2,PHASE 2,Ridge Road 115 kV,Dominion,20.00,Storage
AG2-631,PJM,2021-03-31,Withdrawn,2025-07-03,2025-04-01,TC2,PHASE 1,Boydton Plank Road 115 kV,Dominion,90.00,Solar
AE2-053,PJM,2019-02-01,Withdrawn,2024-06-24,2021-09-15,TC1,PHASE 1,Kerr Dam-Ridge Road 115 kV,Dominion,20.00,Storage
AE1-148,PJM,2018-09-24,Withdrawn,2025-11-03,2021-12-01,TC1,PHASE 2,Kerr Dam-Ridge Rd 115 kV,Dominion,54.00,Solar
AG1-098,PJM,2020-08-18,Withdrawn,2025-11-03,2024-12-01,TC1,PHASE 3,Briery-Clover 230 kV,Dominion,64.20,Solar
AG1-427,PJM,2020-09-30,Withdrawn,2025-01-22,2024-12-31,TC1,PHASE 2,Chase City-Drakes Branch 115 kV,Dominion,71.14,Solar
AG1-440,PJM,2020-09-30,Withdrawn,2024-06-24,2023-12-31,TC1,PHASE 1,Palmer Springs 115 kV,Dominion,45.00,Solar
AG1-441,PJM,2020-09-30,Withdrawn,2024-06-24,2023-12-31,TC1,PHASE 1,Palmer Springs 115 kV,Dominion,45.00,Solar
AG1-445,PJM,2020-09-30,Withdrawn,2024-06-24,2023-12-31,TC1,PHASE 1,Palmer Springs 115 kV,Dominion,26.00,Storage
AG1-446,PJM,2020-09-30,Withdrawn,2024-06-24,2023-12-31,TC1,PHASE 1,Palmer Springs 115 kV,Dominion,26.00,Storage
AG2-518,PJM,2021-03-31,Active,,,TC2,PHASE 2,Tech Drive 138 kV,AEP,32.00,Storage
AG1-124,PJM,2020-08-31,Done,,2030-11-15,TC1,FINAL AGREEMENT,Riverville - Gladstone 138 kV ,AEP,53.01,Solar
AG1-030,PJM,2020-06-09,Withdrawn,2024-06-24,2023-01-01,TC1,PHASE 1,Victoria DP-Martin DP 115 kV,Dominion,90.00,Solar
AG1-166,PJM,2020-09-16,Withdrawn,2025-11-03,2021-10-15,TC1,PHASE 3,Lone Pine 115 kV,Dominion,6.00,Solar
AG1-288,PJM,2020-09-28,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Lake of the Woods DP-Wilderness DP 115 kV,Dominion,96.59,Solar
AG1-289,PJM,2020-09-28,Withdrawn,2024-06-24,2023-06-30,TC1,PHASE 1,Lake of the Woods DP-Wilderness DP 115 kV,Dominion,53.41,Storage
AG1-502,PJM,2020-09-30,Withdrawn,2025-01-22,2023-06-30,TC1,PHASE 2,Oak Green 115 kV,Dominion,64.00,Hybrid
AG1-503,PJM,2020-09-30,Withdrawn,2025-01-22,2023-06-30,TC1,PHASE 2,Oak Green 115 kV,Dominion,16.00,Hybrid
AH1-676,PJM,2025-04-04,Withdrawn,2025-11-26,2031-05-31,TC2,Decision Point 1,Gordonsville 230 kV,Dominion,1275.90,Thermal
AH1-447,PJM,2021-09-10,Withdrawn,2025-03-20,2024-12-02,TC2,APPLICATION REVIEW,Axton – Danville #2 138 kV,AEP,36.00,Storage
AH1-314,PJM,2021-09-11,Active,,,TC2,PHASE 2,East Danville 138 kV,AEP,100.00,Storage
AE2-187,PJM,2019-03-18,Withdrawn,2025-11-03,2020-09-01,TC1,PHASE 3,Shockoe DP-Chatham 69 kV,Dominion,36.00,Solar
AE2-291,PJM,2019-03-29,Done,,2030-05-28,TC1,FINAL AGREEMENT,Grit DP-Perth 115 kV,Dominion,61.20,Solar
AG2-152,PJM,2021-02-23,Active,,,TC2,PHASE 2,Banister-Bear Skin 138 kV,AEP,79.00,Solar
AG2-272,PJM,2021-03-19,Active,,,TC2,PHASE 2,Berry Hill 138 kV,AEP,21.30,Storage
AG1-539,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Grit DP-Perth 115 kV,Dominion,32.00,Storage
AG1-547,PJM,2020-09-30,Withdrawn,2024-06-24,2024-10-01,TC1,PHASE 1,Mount Airy-Chatham 69 kV,Dominion,32.54,Hybrid
AH1-071,PJM,2021-07-29,Active,,,TC2,PHASE 2,Midlothian 34.5 kV,Dominion,12.00,Solar
AH1-377,PJM,2021-09-10,Withdrawn,2025-11-21,2028-10-01,TC2,Decision Point 1,Clover- Farmville 230kV,Dominion,111.60,Solar
AH1-731,PJM,,Withdrawn,2025-05-02,2028-05-05,TC2,RRI APPLICATION REVIEW,,Dominion,107.00,Storage
AH1-750,PJM,,Withdrawn,2025-05-02,2029-11-10,TC2,RRI APPLICATION REVIEW,,Dominion,100.00,Storage
AG2-198,PJM,2021-02-28,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,48.00,Solar
AG2-566,PJM,2021-03-31,Active,,,TC2,PHASE 2,Briery - Finneywood 230 kV,Dominion,12.00,Storage
AF2-171,PJM,2020-03-19,Withdrawn,2025-01-22,2022-03-31,TC1,PHASE 1,Madisonville 115 kV,Dominion,90.00,Solar
AG2-095,PJM,2021-01-28,Active,,,TC2,PHASE 2,Hopewell 34.5 kV (Circuit 313),Dominion,10.80,Solar
AG2-093,PJM,2021-01-26,Withdrawn,2025-12-03,2029-12-01,TC2,Decision Point 1,"Spruance Genco, LLC",Dominion,100.00,Hybrid
AH1-732,PJM,,Withdrawn,2025-05-02,2028-04-30,TC2,RRI APPLICATION REVIEW,,Dominion,50.00,Storage
AH1-741,PJM,,Withdrawn,2025-05-02,2030-12-31,TC2,RRI APPLICATION REVIEW,,Dominion,97.00,Thermal
AH1-696,PJM,2025-04-07,Active,,2030-06-01,TC2,PHASE 2,Possum Point 230kV,Dominion,94.00,Thermal
AG2-284,PJM,2021-03-22,Withdrawn,2025-07-03,2023-12-31,TC2,PHASE 1,Catharpin 230 kV,Dominion,150.00,Storage
AG2-304,PJM,2021-03-23,Withdrawn,2025-11-06,2028-12-31,TC2,Decision Point 1,Liberty 230 kV,Dominion,150.00,Storage
AH1-269,PJM,2021-09-09,Active,,,TC2,PHASE 2,Claytor 138 kV,AEP,50.00,Storage
AG1-536,PJM,2020-09-30,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,32.00,Storage
AF2-120,PJM,2020-02-28,Done,,2031-05-31,TC1,FINAL AGREEMENT,Garner-Northern Neck 115 kV,Dominion,37.20,Solar
AG1-135,PJM,2020-09-03,Done,,2031-03-01,TC1,FINAL AGREEMENT,Garner-Lancaster 115 kV,Dominion,36.00,Solar
AG2-310,PJM,2021-03-23,Withdrawn,2025-12-02,2031-07-01,TC2,Decision Point 1,Matt Funk 138 kV,AEP,70.00,Storage
