Project ID,Name,ISO,Status,Queue Date,Withdrawn Date,County,State,Zone,MW Capacity,Fuel Type,Proposed Date
1284,Group @ Orleans 975 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Barnstable,MA,SEMA,10.00,Hybrid,2023-11-30
1286,Tremont 713 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Plymouth,MA,SEMA,5.00,Hybrid,2025-07-31
1289,Group @ West Pond 737 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Middlesex,MA,SEMA,6.98,Hybrid,2025-07-31
1290,Group @ Wing Lane 624 - EMA ASO,ISONE,Withdrawn,2022-06-08,2025-06-13,Bristol,MA,SEMA,14.98,Hybrid,2023-11-30
1292,Battery Storage,ISONE,Withdrawn,2022-07-12,2023-05-01,Worcester,MA,CMA,95.00,Storage,2023-09-30
1293,GRID RNS,ISONE,Done,2022-07-13,,Middlesex,MA,BOST,183.70,Other,2025-08-01
1294,Solar,ISONE,Withdrawn,2022-07-27,2023-06-06,Washington,ME,BHE,75.32,Solar,2026-08-04
1295,Solar plus Battery,ISONE,Withdrawn,2022-08-09,2024-08-13,Aroostook,ME,ME,205.00,Hybrid,2025-11-28
1296,Battery Storage,ISONE,Withdrawn,2022-08-10,2024-12-10,Hartford,CT,CT,125.00,Storage,2027-04-01
1297,Offshore Wind,ISONE,Withdrawn,2022-08-15,2022-09-13,,MA,SEMA,1200.00,Wind,2029-05-31
1298,Battery Storage,ISONE,Withdrawn,2022-08-16,2024-05-31,Worcester,MA,CMA,157.92,Storage,2027-06-30
1299,Solar Increase (QP1145),ISONE,Withdrawn,2022-08-18,2025-05-21,Hancock,ME,BHE,74.80,Solar,2026-09-25
1301,Battery Storage,ISONE,Withdrawn,2022-09-06,2022-12-09,Worcester,MA,CMA,10.00,Storage,2025-05-15
1302,Battery Storage,ISONE,Withdrawn,2022-09-22,2023-03-24,Franklin,MA,WMA,8.50,Storage,2027-05-28
1303,Battery Storage,ISONE,Withdrawn,2022-09-22,2023-05-25,Franklin,MA,WMA,11.90,Storage,2027-05-28
1308,Uxbridge Substation – NG Hopedale West Group Study,ISONE,Withdrawn,2022-09-09,2025-06-13,Worcester,MA,SEMA,6.99,Storage,2025-12-31
1310,Battery Storage,ISONE,Withdrawn,2022-09-23,2023-12-08,Berkshire,MA,WMA,118.75,Storage,2025-10-31
1311,RNS - move load to new substation,ISONE,Active,2022-09-23,,Plymouth,MA,SEMA,85.32,Other,2026-07-01
1314,Offshore Wind,ISONE,Withdrawn,2022-09-27,2024-10-14,,MA,SEMA,470.00,Wind,2029-11-01
1315,Battery Storage,ISONE,Withdrawn,2022-09-29,2024-10-02,Windham,CT,CT,106.97,Storage,2026-06-12
1316,Solar plus Battery,ISONE,Withdrawn,2022-09-30,2023-08-25,Cheshire,NH,NH,102.00,Hybrid,2027-10-28
1318,GRID LNS,ISONE,Withdrawn,2022-10-03,2023-07-03,Middlesex/Worcester,MA,CMA,45.00,Other,2023-10-03
1319,Battery Storage,ISONE,Active,2022-10-07,,Litchfield,CT,CT,141.60,Storage,2028-05-30
1320,Battery Storage,ISONE,Active,2022-10-07,,Worcester,MA,SEMA,203.95,Storage,2027-02-23
1321,NEP LNS,ISONE,Withdrawn,2022-10-06,2022-11-30,Somerset,MA,SEMA,17.56,Other,2024-12-01
1324,Battery Storage,ISONE,Withdrawn,2022-10-18,2024-10-23,Providence,RI,RI,55.00,Storage,2027-12-30
1325,Battery Storage,ISONE,Withdrawn,2022-10-19,2024-05-31,Providence,RI,RI,307.80,Storage,2027-12-30
1326,Battery Storage,ISONE,Withdrawn,2022-10-19,2023-10-13,Kent,RI,RI,40.00,Storage,2027-12-30
1327,Battery Storage,ISONE,Withdrawn,2022-10-20,2023-02-14,Norfolk,MA,SEMA,270.00,Storage,2023-12-02
1328,Solar,ISONE,Withdrawn,2022-10-24,2023-04-27,Grafton,NH,NH,21.44,Solar,2024-06-05
1329,Solar,ISONE,Withdrawn,2022-10-24,2023-05-19,Grafton,NH,NH,54.40,Solar,2024-06-05
1330,Solar,ISONE,Withdrawn,2022-11-01,2022-12-16,Sullivan,NH,NH,46.50,Solar,2023-12-20
1331,Battery Storage,ISONE,Withdrawn,2022-11-02,2023-12-19,Hampden,MA,WMA,300.00,Storage,2025-12-23
1334,Battery Storage,ISONE,Withdrawn,2022-11-10,2024-10-08,New London,CT,CT,93.20,Storage,2027-05-01
1335,Battery Storage,ISONE,Withdrawn,2022-11-10,2024-10-08,Bristol,MA,SEMA,205.80,Storage,2027-04-01
1336,Battery Storage,ISONE,Withdrawn,2022-11-22,2024-01-05,Worcester,MA,CMA,130.00,Storage,2026-12-31
1337,Battery Storage,ISONE,Withdrawn,2022-11-22,2023-11-17,Berkshire,MA,WMA,130.00,Storage,2026-12-31
1338,Battery Storage,ISONE,Withdrawn,2022-12-06,2024-07-30,Hampden,MA,WMA,275.06,Storage,2027-06-30
1339,Battery Storage,ISONE,Withdrawn,2022-12-06,2023-01-30,Bristol,MA,SEMA,257.06,Storage,2027-06-30
1340,Battery Storage,ISONE,Withdrawn,2022-12-06,2023-01-30,Bristol,MA,SEMA,550.12,Storage,2027-06-30
1341,Battery Storage,ISONE,Withdrawn,2022-12-06,2023-01-30,Bristol,MA,SEMA,667.42,Storage,2027-06-30
1342,Western Maine Wind CNR,ISONE,Withdrawn,2022-12-15,2025-10-11,Somerset,ME,ME,58.80,Wind,2025-09-24
1343,Offshore Wind,ISONE,Withdrawn,2022-12-19,2025-10-10,,MA,SEMA,1200.00,Wind,2029-12-15
1344,Offshore Wind CNR only,ISONE,Withdrawn,2022-12-28,2025-10-11,,MA,SEMA,827.00,Wind,2025-10-15
1345,Battery Storage,ISONE,Withdrawn,2023-01-10,2025-10-11,New London,CT,CT,75.00,Storage,2028-06-01
1346,Battery Storage,ISONE,Withdrawn,2023-01-12,2024-10-09,Hartford,CT,CT,196.47,Storage,2026-09-15
1347,Enfield DG Cluster,ISONE,Withdrawn,2023-01-26,2025-06-13,Hartford,CT,CT,18.77,Hybrid,2025-07-27
1348,Battery Storage,ISONE,Withdrawn,2023-01-26,2025-06-13,Middlesex,CT,CT,5.06,Storage,2025-07-27
1349,Scitico DG Cluster,ISONE,Withdrawn,2023-01-26,2025-06-13,Hartford,CT,CT,5.20,Hybrid,2023-12-31
1351,Battery Storage,ISONE,Withdrawn,2023-02-06,2025-10-10,Fairfield,CT,SWCT,156.24,Storage,2027-10-01
1352,Battery Storage,ISONE,Withdrawn,2023-02-06,2025-10-10,New Haven,CT,CT,262.68,Storage,2027-10-01
1353,Battery Storage,ISONE,Withdrawn,2023-02-06,2025-10-10,New London,CT,CT,289.29,Storage,2027-10-01
1354,Battery Storage,ISONE,Withdrawn,2023-02-06,2023-04-13,Middlesex,CT,CT,289.29,Storage,2024-10-01
1355,Battery Storage,ISONE,Withdrawn,2023-02-06,2025-10-10,New Haven,CT,SWCT,136.32,Storage,2027-10-01
1356,(Offshore wind Increase (Q700 +Q1154),ISONE,Withdrawn,2023-02-09,2024-10-14,,MA,SEMA,895.00,Wind,2026-10-30
1357,Solar Increase,ISONE,Active,2023-02-16,,Hartford,CT,CT,152.04,Solar,2027-11-15
1358,Battery Storage,ISONE,Withdrawn,2023-02-21,2025-10-11,Hartford,CT,CT,100.00,Storage,2026-07-31
1360,Battery Storage,ISONE,Withdrawn,2023-02-22,2025-06-13,Middlesex,CT,CT,10.00,Storage,2024-06-15
1361,Offshore Wind,ISONE,Withdrawn,2023-02-24,2023-09-08,,MA,SEMA,882.00,Wind,2030-02-15
1362,Battery Storage Increase (QP1238),ISONE,Withdrawn,2023-02-24,2025-10-10,Norfolk,MA,SEMA,602.52,Storage,2027-11-12
1363,Battery Storage,ISONE,Withdrawn,2023-03-01,2025-10-10,Hampden,MA,WMA,301.26,Storage,2026-11-20
1364,Battery Storage,ISONE,Withdrawn,2023-03-01,2025-01-13,Rockingham,NH,NH,401.68,Storage,2026-11-20
1366,Battery Storage,ISONE,Withdrawn,2023-03-09,2024-08-19,Fairfield,CT,SWCT,200.84,Storage,2026-11-20
1367,Battery Storage,ISONE,Withdrawn,2023-03-09,2023-11-30,Bristol,MA,SEMA,271.40,Storage,2027-04-01
1368,Battery Storage,ISONE,Withdrawn,2023-03-09,2023-04-12,Essex,MA,BOST,240.80,Storage,2027-04-01
1373,Battery Storage Increase (QP1362),ISONE,Withdrawn,2023-03-15,2025-10-10,Norfolk,MA,SEMA,743.00,Storage,2027-11-12
1374,Battery Storage,ISONE,Withdrawn,2023-03-28,2025-10-11,Merrimack,NH,NH,226.00,Storage,2027-04-07
1375,Wind,ISONE,Withdrawn,2023-03-29,2025-10-11,Aroostook,ME,BHE,217.00,Wind,2026-12-09
1376,Battery Storage,ISONE,Withdrawn,2023-03-29,2024-10-08,New Haven,CT,CT,325.70,Storage,2027-04-01
1377,Battery Storage,ISONE,Withdrawn,2023-04-03,2023-12-12,Windsor,VT,VT,180.00,Storage,2027-04-08
1378,Battery Storage,ISONE,Withdrawn,2023-04-03,2023-12-12,Windsor,VT,VT,105.00,Storage,2027-04-08
1379,Solar,ISONE,Withdrawn,2023-04-06,2025-10-11,Aroostook,ME,BHE,218.40,Solar,2028-10-31
1380,Fuel Cell CNR,ISONE,Done,2023-04-06,,Hartford,CT,CT,20.10,Other,2024-12-12
1382,Vineyard Offshore Wind CNR,ISONE,Done,2023-04-11,,,MA,SEMA,843.20,Wind,2026-04-24
1383,Solar and Battery ,ISONE,Withdrawn,2023-04-13,2023-12-15,Penoboscot,ME,BHE,139.00,Hybrid,2028-12-31
1384,Battery Storage,ISONE,Withdrawn,2023-04-26,2024-07-29,Worcester,MA,CMA,300.00,Storage,2026-12-31
1385,Battery Storage,ISONE,Withdrawn,2023-04-26,2024-07-29,Worcester,MA,CMA,233.00,Storage,2026-12-31
1386,Battery Storage,ISONE,Withdrawn,2023-04-26,2024-10-04,Berkshire,MA,WMA,100.00,Storage,2026-12-31
1388,Wind CNR,ISONE,Done,2023-04-28,,Penobscot,ME,BHE,61.20,Wind,2026-04-09
1389,Wind CNR,ISONE,Done,2023-04-28,,Washington,ME,BHE,58.14,Wind,2026-04-09
1390,Wind CNR,ISONE,Withdrawn,2023-04-28,2025-10-11,Hancock,ME,BHE,34.49,Wind,2023-11-01
1391,Wind CNR,ISONE,Done,2023-04-28,,Washington,ME,BHE,26.01,Wind,2026-04-09
1392,Battery Storage,ISONE,Withdrawn,2023-05-03,2025-09-23,New Haven,CT,CT,53.74,Storage,2026-09-15
1393,Gas Turbine,ISONE,Withdrawn,2023-05-03,2023-09-13,Fairfield,CT,SWCT,233.00,Thermal,2026-06-01
1394,Battery Storage Addition,ISONE,Withdrawn,2023-05-04,2025-10-10,Middlesex,CT,CT,284.05,Storage,2026-07-01
1395,Battery Storage,ISONE,Withdrawn,2023-05-05,2023-05-22,Hampshire,MA,WMA,20.00,Storage,2027-06-30
1396,Battery Storage,ISONE,Withdrawn,2023-05-05,2025-10-08,Providence,RI,RI,101.97,Storage,2026-12-31
1397,Battery Storage,ISONE,Withdrawn,2023-05-05,2025-10-08,Worcester,MA,CMA,100.24,Storage,2026-12-31
1398,Battery Storage,ISONE,Withdrawn,2023-05-08,2024-12-03,Worcester,MA,CMA,101.97,Storage,2026-12-31
1399,Battery Storage,ISONE,Withdrawn,2023-05-18,2025-10-11,Hampden,MA,WMA,92.44,Storage,2027-05-31
1400,Battery Storage,ISONE,Withdrawn,2023-05-18,2025-10-08,Hartford,CT,CT,101.97,Storage,2026-12-31
1402,Battery Storage,ISONE,Withdrawn,2023-06-07,2025-10-11,Hampden,MA,WMA,171.60,Storage,2027-06-01
1403,Battery Storage,ISONE,Withdrawn,2023-06-09,2025-01-13,Middlesex,CT,CT,304.72,Storage,2026-11-20
1405,EE Group @ Southwick,ISONE,Withdrawn,2023-06-13,2025-06-13,Hampden,MA,WMA,7.00,Hybrid,2024-12-31
1406,EE Group @ Doreen,ISONE,Withdrawn,2023-06-13,2025-06-13,Berkshire,MA,WMA,9.15,Hybrid,2024-12-31
1407,EE Group @ Blandford,ISONE,Withdrawn,2023-06-13,2025-06-13,Hampshire,MA,WMA,28.93,Hybrid,2024-12-31
1415,Battery Storage,ISONE,Withdrawn,2023-06-20,2024-09-26,Worcester,MA,CMA,261.90,Storage,2024-08-12
1416,Battery Storage,ISONE,Withdrawn,2023-06-26,2023-08-08,Hampshire,MA,WMA,196.00,Storage,2027-05-19
1417,Battery Storage,ISONE,Withdrawn,2023-06-26,2024-12-11,Windham,CT,CT,300.00,Storage,2028-06-01
