Project ID,ISO,Status,Queue Date,Withdrawn Date,Proposed Date,State,County,Zone,MW Capacity,Fuel Type,Transmission Owner,Service Type,Study Cycle,Study Group,Name,Study Phase,POI Name,Developer,Done Date,POI,Completion Probability,Latitude,Longitude,Screening Started Date,Screening Complete Date,FIS Requested Date,FIS Approved Date,IA Signed Date,Construction Start Date,Construction End Date,Approved Energization Date,Approved Sync Date,Latest Milestone,Latest Milestone Date,Milestones
GI-DISIS-2022-22,SPP,Done,2022-05-27 00:00:00,,2028-10-01 00:00:00,CO,Kit Carson County,,90.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-17,SPP,Active,2022-05-27 00:00:00,,2030-05-01 00:00:00,CO,Kiowa County/Prowers County,,199.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-07,SPP,Done,2022-05-24 00:00:00,,2029-02-27 00:00:00,CO,Weld County,,199.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-04,SPP,Done,2022-05-09 00:00:00,,2027-06-29 00:00:00,CO,Kit Carson County,,158.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2022-02,SPP,Done,2022-05-05 00:00:00,,2030-04-01 00:00:00,CO,Weld County,,199.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-DISIS-2021-10,SPP,Active,2021-05-28 00:00:00,,2027-09-05 00:00:00,WY,Converse County,,199.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-29,SPP,Active,2025-10-06 00:00:00,,,CO,"Yuma County,",,300.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-27,SPP,Active,2025-10-03 00:00:00,,,CO,"Delta County,",,199.00,Thermal,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-26,SPP,Active,2025-10-02 00:00:00,,,CO,"Kit Carson County,",,199.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-25,SPP,Active,2025-10-02 00:00:00,,,WY,"Platte County,",,800.00,Hybrid,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-24,SPP,Active,2025-09-29 00:00:00,,,CO,"Kit Carson County,",,225.00,Wind,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-20,SPP,Active,2025-09-29 00:00:00,,,CO,"Morgan County,",,199.90,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-19,SPP,Active,2025-09-29 00:00:00,,,CO,"Morgan County,",,199.90,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-17,SPP,Active,2025-09-26 00:00:00,,,CO,"Moffat County,",,199.50,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-16,SPP,Active,2025-09-26 00:00:00,,,CO,"Weld County,",,150.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-11,SPP,Active,2025-09-19 00:00:00,,,CO,"Lincoln County,",,199.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-08,SPP,Active,2025-09-18 00:00:00,,,CO,"Kit Carson,",,199.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-07,SPP,Active,2025-09-18 00:00:00,,,CO,"Kit Carson,",,199.00,Wind,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-05,SPP,Active,2025-09-18 00:00:00,,,CO,"Weld County,",,300.00,Solar,TSGT,ERIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-04,SPP,Active,2025-09-17 00:00:00,,,WY,"Laramie County,",,330.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-03,SPP,Active,2025-09-16 00:00:00,,,CO,"Kit Carson,",,300.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GI-CS-2025-02,SPP,Active,2025-09-11 00:00:00,,,CO,"Adams County,",,199.00,Hybrid,TSGT,ERIS/NRIS,RTOE Transitional Cluster,,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR9,SPP,Active,2025-12-18 00:00:00,,,KS,Wright,,252.00,Storage,ITCGP,ERIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR8,SPP,Active,2026-02-05 00:00:00,,,OK,Elgin,,500.00,Storage,AEP,NRIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR7,SPP,Active,2026-01-21 00:00:00,,,ND,South Heart,,150.00,Storage,BEPC,ERIS,Surplus,01 NORTH,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR6,SPP,Active,2026-01-22 00:00:00,,,ND,South Heart,,150.00,Storage,BEPC,ERIS,Surplus,01 NORTH,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR5,SPP,Active,2026-01-20 00:00:00,,,KS,Wellington,,200.00,Storage,WERE,ERIS/NRIS,Surplus,03 CENTRAL,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR4,SPP,Active,2025-11-17 00:00:00,,,OK,Oktaha,,400.00,Storage,OG&E,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR3,SPP,Active,2026-01-14 00:00:00,,,OK,Sayre,,100.00,Storage,AEP,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
GEN-2026-SR22,SPP,Active,2026-05-04 00:00:00,,,KS,Oxford,,150.00,Storage,WERE,ERIS,Surplus,04 SOUTHEAST,,,,,,,,,,,,,,,,,,,,,
