Project ID,ISO,Status,Queue Date,Proposed Date,Transmission Owner,Service Type,County,State,Study Cycle,Study Group,MW Capacity,Fuel Type
GEN-2025-SR16,SPP,Active,2025-06-05,,WERE,ERIS,Oxford,KS,Surplus,03 CENTRAL,300.00,Storage
GEN-2025-SR15,SPP,Active,2025-05-31,,OG&E,ERIS,Newcastle,OK,Surplus,04 SOUTHEAST,125.00,Thermal
GEN-2025-SR14,SPP,Active,2025-05-31,,OG&E,ERIS,Oklahoma City,OK,Surplus,04 SOUTHEAST,183.00,Storage
GEN-2025-SR13,SPP,Active,2025-05-31,,OG&E,ERIS,Konawa,OK,Surplus,04 SOUTHEAST,130.00,Thermal
GEN-2025-SR12,SPP,Active,2025-05-31,,OG&E,ERIS,Red Rock,OK,Surplus,04 SOUTHEAST,116.00,Storage
GEN-2025-SR11,SPP,Active,2025-05-31,,OG&E,ERIS,Red Rock,OK,Surplus,04 SOUTHEAST,112.00,Storage
GEN-2025-SR10,SPP,Active,2025-05-31,,OG&E,ERIS,Konawa,OK,Surplus,04 SOUTHEAST,238.00,Thermal
GEN-2025-SR1,SPP,Active,2025-04-04,,KCPL,ERIS/NRIS,Clinton,MO,Surplus,03 CENTRAL,400.00,Storage
GEN-2025-GR6,SPP,Active,2025-11-07,,SPS,ERIS,Dimmit,TX,Replacement,05 SOUTHWEST,300.00,Wind
GEN-2025-GR5,SPP,Active,2025-10-06,,WAPA,ERIS/NRIS,Minot,ND,Replacement,01 NORTH,7.70,Wind
GEN-2025-GR4,SPP,Active,2025-10-06,,WAPA,ERIS/NRIS,Plankinton,SD,Replacement,01 NORTH,10.80,Wind
GEN-2025-GR2,SPP,Active,2025-06-30,,SPS,ERIS,Elida,NM,Replacement,05 SOUTHWEST,120.00,Wind
GEN-2025-GR1,SPP,Done,2024-12-17,,OG&E,ERIS,Medford,OK,Replacement,04 SOUTHEAST,300.00,Wind
GEN-2024-SR9,SPP,Done,2024-01-26,,OG&E,ERIS,Beaver County,OK,Surplus,05 SOUTHWEST,150.00,Storage
GEN-2024-SR8,SPP,Active,2024-04-03,,NPPD,ERIS,Greely County,NE,Surplus,02 NEBRASKA,70.00,Storage
GEN-2024-SR7,SPP,Done,2024-01-26,,OG&E,ERIS,Beaver County,OK,Surplus,05 SOUTHWEST,200.00,Solar
GEN-2024-SR6,SPP,Done,2024-02-20,,OG&E,ERIS,Johnston County,OK,Surplus,04 SOUTHEAST,200.00,Storage
GEN-2024-SR5,SPP,Done,2024-02-07,,OG&E,ERIS,Drumright,OK,Surplus,04 SOUTHEAST,176.90,Storage
GEN-2024-SR3,SPP,Done,2024-02-01,,OG&E,ERIS/NRIS,Lincoln County,OK,Surplus,04 SOUTHEAST,72.50,Storage
GEN-2024-SR2,SPP,Done,2024-02-06,,OG&E,ERIS/NRIS,Franklin County,AR,Surplus,04 SOUTHEAST,72.50,Storage
GEN-2024-SR17,SPP,Done,2024-12-26,,OG&E,ERIS/NRIS,Kay,OK,Surplus,04 SOUTHEAST,50.00,Storage
GEN-2024-SR16,SPP,Active,2024-12-03,,AEP,ERIS,Oologah,OK,Surplus,04 SOUTHEAST,100.00,Storage
GEN-2024-SR15,SPP,Active,2024-10-24,,SPS,ERIS,Yoakum,TX,Surplus,05 SOUTHWEST,300.00,Storage
GEN-2024-SR14,SPP,Done,2024-07-08,,Xcel/SPS,ERIS,Lea County,NM,Surplus,05 SOUTHWEST,36.00,Storage
GEN-2024-SR11,SPP,Done,2024-05-07,,OGE,ERIS/NRIS,Garfield,OK,Surplus,04 SOUTHEAST,200.00,Storage
GEN-2024-SR10,SPP,Active,2024-04-22,,NPPD,ERIS/NRIS,Lancaster,NE,Surplus,02 NEBRASKA,80.00,Storage
GEN-2024-GR6,SPP,Done,2024-07-25,,OG&E,ERIS,Newkirk,OK,Replacement,04 SOUTHEAST,300.00,Wind
GEN-2024-GR5,SPP,Done,2024-08-02,,GRDA,ERIS,Chouteau,OK,Replacement,04 SOUTHEAST,594.00,Hybrid
GEN-2024-GR4,SPP,Done,2024-07-25,,EDE,ERIS,Riverton,KS,Replacement,03 CENTRAL,27.14,Thermal
GEN-2024-GR3,SPP,Done,2024-06-07,,Xcel/SPS,ERIS,Lea County,NM,Replacement,05 SOUTHWEST,196.00,Solar
GEN-2024-GR1,SPP,Done,2024-01-08,,OG&E,ERIS,Harrah,OK,Replacement,04 SOUTHEAST,492.00,Thermal
GEN-2024-379,SPP,Active,2025-03-01,2030-05-01,AEP,ERIS/NRIS,Bossier Parish,LA,DISIS-2024-001,04 SOUTHEAST,1350.00,Thermal
GEN-2024-377,SPP,Active,2025-03-01,2030-01-05,AEP,ERIS/NRIS,Harrison,TX,DISIS-2024-001,04 SOUTHEAST,1350.00,Thermal
GEN-2024-376,SPP,Active,2025-03-01,2028-08-15,ETEC,ERIS/NRIS,Sabine,TX,DISIS-2024-001,04 SOUTHEAST,142.18,Solar
GEN-2024-374,SPP,Active,2025-03-01,2030-03-31,BEPC,ERIS/NRIS,Scotts Bluff,NE,DISIS-2024-001,02 NEBRASKA,225.00,Solar
GEN-2024-373,SPP,Active,2025-03-01,2029-06-30,WFEC,ERIS/NRIS,Choctaw,OK,DISIS-2024-001,04 SOUTHEAST,100.00,Hybrid
GEN-2024-372,SPP,Active,2025-03-01,2027-12-01,OPPD,ERIS/NRIS,Douglas,NE,DISIS-2024-001,02 NEBRASKA,250.00,Storage
GEN-2024-370,SPP,Active,2025-03-01,2028-12-01,WERE,ERIS/NRIS,Clay,MO,DISIS-2024-001,03 CENTRAL,250.00,Storage
GEN-2024-362,SPP,Active,2025-03-01,2029-02-28,AEP,ERIS/NRIS,Grady,OK,DISIS-2024-001,04 SOUTHEAST,120.00,Hybrid
GEN-2024-361,SPP,Active,2025-03-01,2029-02-28,OGE,ERIS/NRIS,Lincoln,OK,DISIS-2024-001,04 SOUTHEAST,80.00,Hybrid
GEN-2024-360,SPP,Active,2025-03-01,2029-02-28,OGE,ERIS/NRIS,Konawa,OK,DISIS-2024-001,04 SOUTHEAST,160.00,Hybrid
GEN-2024-352,SPP,Active,2025-03-01,2030-07-30,WERE,ERIS/NRIS,Jackson,MO,DISIS-2024-001,03 CENTRAL,199.00,Storage
GEN-2024-344,SPP,Active,2025-03-01,2030-08-01,OGE/AEP,ERIS,Lincoln,OK,DISIS-2024-001,04 SOUTHEAST,200.00,Wind
GEN-2024-343,SPP,Active,2025-03-01,2029-12-01,AEP,ERIS/NRIS,Harrison,TX,DISIS-2024-001,04 SOUTHEAST,235.00,Thermal
GEN-2024-341,SPP,Active,2025-03-01,2030-11-11,AEP,ERIS/NRIS,Pittsburgh,OK,DISIS-2024-001,04 SOUTHEAST,1045.00,Thermal
GEN-2024-340,SPP,Active,2025-03-01,2030-12-01,AEP,ERIS/NRIS,Creek,OK,DISIS-2024-001,04 SOUTHEAST,1400.00,Thermal
GEN-2024-339,SPP,Active,2025-03-01,2029-03-01,WERE,ERIS/NRIS,Lavenworth ,KS,DISIS-2024-001,03 CENTRAL,300.00,Storage
GEN-2024-338,SPP,Active,2025-03-01,2030-03-31,AEP,ERIS/NRIS,Johnston ,OK,DISIS-2024-001,04 SOUTHEAST,350.00,Solar
GEN-2024-336,SPP,Active,2025-03-01,2028-10-30,SPS,ERIS/NRIS,Yoakum,TX,DISIS-2024-001,05 SOUTHWEST,300.00,Hybrid
GEN-2024-334,SPP,Active,2025-03-01,2029-03-01,OGE,ERIS/NRIS,Kay,OK,DISIS-2024-001,04 SOUTHEAST,103.00,Thermal
GEN-2024-333,SPP,Active,2025-03-01,2027-02-01,OGE,ERIS/NRIS,Oklahoma ,OK,DISIS-2024-001,04 SOUTHEAST,100.00,Storage
GEN-2024-330,SPP,Active,2025-03-01,2027-07-01,WERE,ERIS/NRIS,Butler,KS,DISIS-2024-001,03 CENTRAL,225.00,Storage
GEN-2024-329,SPP,Active,2025-03-01,2027-07-01,MWEC,ERIS/NRIS,Williams,ND,DISIS-2024-001,01 NORTH,200.00,Storage
GEN-2024-327,SPP,Active,2025-03-01,2027-07-01,CPEC,ERIS/NRIS,Ward,ND,DISIS-2024-001,01 NORTH,200.00,Storage
GEN-2024-323,SPP,Active,2025-03-01,2029-01-02,ITCGP,ERIS,Choctaw,OK,DISIS-2024-001,04 SOUTHEAST,356.80,Thermal
GEN-2024-321,SPP,Active,2025-03-01,2029-03-22,OGE,ERIS/NRIS,Seminole,OK,DISIS-2024-001,04 SOUTHEAST,493.00,Thermal
GEN-2024-320,SPP,Active,2025-03-01,2028-05-31,WERE,ERIS/NRIS,Wyandotte,KS,DISIS-2024-001,03 CENTRAL,199.00,Storage
GEN-2024-319,SPP,Active,2025-03-01,2028-05-31,KACY,ERIS/NRIS,Wyandotte,KS,DISIS-2024-001,03 CENTRAL,199.00,Storage
GEN-2024-318,SPP,Active,2025-03-01,2028-05-31,AEP,ERIS/NRIS,Tulsa,OK,DISIS-2024-001,04 SOUTHEAST,199.00,Storage
