Project ID,ISO,Queue Date,Status,County,State,POI Name,MW Capacity,Fuel Type,Proposed Date,Transmission Owner,Study Cycle,Study Group,Service Type,Done Date
J3600,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Morehouse,LA,OAK RIDGE (LA) - SWARTZ 115.0kV,50.00,Storage,2028-09-01 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2023,South,NRIS,
J3601,MISO,2024-04-16 04:00:00+00:00,Active,Morehouse,LA,OAK RIDGE (LA) - SWARTZ 115.0kV,200.00,Solar,2028-09-01 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2023,South,NRIS,
J3603,MISO,2024-04-16 04:00:00+00:00,Withdrawn,Morehouse,LA,OAK RIDGE (LA) - STERLINGTON 115 SWYD 115.0kV,175.00,Solar,2028-09-15 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2023,South,NRIS,
J3843,MISO,2024-11-21 05:00:00+00:00,Active,Saginaw,MI,GOSS - SLATE 345.0kV,300.00,Solar,2027-11-01 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3841,MISO,2024-10-31 04:00:00+00:00,Withdrawn,Richland,LA,Smalling 230kV Substation,735.00,Thermal,2028-01-31 05:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2025,South,ERIS,
J3842,MISO,2024-10-31 04:00:00+00:00,Withdrawn,Richland,LA,Smalling 230kV Substation,735.00,Thermal,2028-01-31 05:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2025,South,ERIS,
J3844,MISO,2024-11-26 05:00:00+00:00,Active,St. Joseph,MI,BATAVIA - MORROW  138.0kV,150.00,Solar,2029-04-01 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3859,MISO,2024-12-17 05:00:00+00:00,Active,Branch,MI,Other_,200.00,Solar,2028-10-01 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3858,MISO,2024-12-18 05:00:00+00:00,Active,Livingston,MI,Madrid Substation 120 kV - Bus number 265650,110.00,Solar,2029-06-01 04:00:00+00:00,ITC,DPP-2025,East (ITC),NRIS,
J3852,MISO,2024-12-31 05:00:00+00:00,Withdrawn,Tuscola,MI,KIRK,200.00,Solar,2030-06-30 04:00:00+00:00,ITC,DPP-2025,East (ITC),NRIS,
J3857,MISO,2024-12-26 05:00:00+00:00,Withdrawn,Iosco,MI,ALCONA - WHITTEMORE 138.0kV,105.00,Solar,2030-04-01 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3850,MISO,2024-12-31 05:00:00+00:00,Withdrawn,Pine,MN,ROCK CREEK,150.00,Solar,2030-06-30 04:00:00+00:00,NORTHERN STATES POWER COMPANY,DPP-2025,West,NRIS,
J3854,MISO,2024-12-26 05:00:00+00:00,Withdrawn,Mason,IL,4PURO - 4HAVANA3 138.0kV,44.33,Wind,2028-01-03 05:00:00+00:00,AMEREN ILLINOIS,DPP-2025,Central,NRIS,
J3851,MISO,2024-12-31 05:00:00+00:00,Withdrawn,McDonough,IL,Macomb West,200.00,Storage,2030-06-30 04:00:00+00:00,AMEREN ILLINOIS,DPP-2025,Central,NRIS,
J3856,MISO,2024-12-26 05:00:00+00:00,Active,Wabash,IL,08GIBSON (PSI) - 7ALBION   345.0kV,235.00,Wind,2030-04-01 04:00:00+00:00,AMEREN ILLINOIS,DPP-2025,Central,NRIS,
J3855,MISO,2024-12-26 05:00:00+00:00,Withdrawn,Madison,MS,CANTON - PICKENS 230.0kV,197.50,Solar,2028-03-01 05:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2025,South,ERIS,
J3835,MISO,2024-07-18 04:00:00+00:00,Active,Saginaw,MI,Other_,130.00,Solar,2028-11-01 04:00:00+00:00,ITC,DPP-2025,East (ITC),NRIS,
J3836,MISO,2024-10-24 04:00:00+00:00,Active,Eaton,MI,ONEIDA,250.00,Storage,2028-10-06 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3837,MISO,2024-12-02 05:00:00+00:00,Active,Van Buren,MI,ARGENTA - PALISADES 345.0kV,200.00,Solar,2029-06-01 04:00:00+00:00,METC,DPP-2025,East (ITC),NRIS,
J3825,MISO,2024-04-17 04:00:00+00:00,Withdrawn,Hinds,MS,230kV Greenacres Substation,730.00,Thermal,2028-01-01 05:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",DPP-2023,South,NRIS,
J3799,MISO,2024-04-18 04:00:00+00:00,Active,Livingston,MI,BLACKFOOT - MADRID 345.0kV,1452.00,Thermal,2030-04-01 04:00:00+00:00,ITC,DPP-2025,East (ITC),NRIS,
J3458,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Cross,AR,TWIST - PARKIN 161.0kV,170.00,Solar,2028-01-01 05:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,NRIS,
J3459,MISO,2024-04-17 04:00:00+00:00,Withdrawn,Craighead,AR,CASH - NEWPORT AB 161.0kV,200.00,Solar,2028-09-15 04:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,NRIS,
J3460,MISO,2024-04-16 04:00:00+00:00,Withdrawn,St. Clair,MI,FITZ,290.00,Storage,2028-09-15 04:00:00+00:00,ITC,DPP-2023,East (ITC),NRIS,
J3475,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Mason,IL,Indian Creek,200.00,Solar,2028-05-13 04:00:00+00:00,"PRAIRIE POWER, INC.",DPP-2023,Central,NRIS,
J3474,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Allegan,MI,BUCK CREEK - HAZELWOOD 138.0kV,128.00,Solar,2028-09-15 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3476,MISO,2024-04-17 04:00:00+00:00,Withdrawn,St. Croix,WI,Pine Lake Tap - APPLE RIVER  (DPC) 161.0kV,150.00,Solar,2028-09-15 04:00:00+00:00,NORTHERN STATES POWER COMPANY,DPP-2023,West,NRIS,
J3489,MISO,2024-04-15 04:00:00+00:00,Withdrawn,McDonough,IL,Other_,105.00,Solar,2028-09-15 04:00:00+00:00,AMEREN TRANSMISSION COMPANY OF ILLINOIS,DPP-2023,Central,NRIS,
J4114,MISO,2025-10-06 04:00:00+00:00,Active,Washington,IA,SUB T HASKINS,525.00,Thermal,2030-07-31 04:00:00+00:00,MIDAMERICAN ENERGY CO.,DPP-2025,West,NRIS,
J4111,MISO,2025-10-07 04:00:00+00:00,Withdrawn,Hot Spring,AR,SHERIDAN EHV - MAGNET COVE 500.0kV,650.00,Thermal,2030-06-30 04:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2025,South,NRIS,
J4113,MISO,2025-10-06 04:00:00+00:00,Active,Cerro Gordo,IA,Killdeer,787.40,Thermal,2028-06-30 04:00:00+00:00,ITC MIDWEST,DPP-2025,West,NRIS,
J4112,MISO,2025-10-07 04:00:00+00:00,Active,Rock Island,IL,OAK GROVE - SUB 93 LOUISA 345.0kV,300.00,Wind,2030-10-15 04:00:00+00:00,MIDAMERICAN ENERGY CO.,DPP-2026,West,NRIS,
J3742,MISO,2024-06-06 04:00:00+00:00,Active,Otter Tail,MN,Wahpeton - Fergus Falls 230.0kV,160.00,Hybrid,2028-12-15 05:00:00+00:00,OTTER TAIL POWER COMPANY,DPP-2023,West,NRIS,
J3741,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Cleveland,AR,WOODWARD 115 SUB - RISON 115.0kV,155.00,Solar,2028-09-30 04:00:00+00:00,"ENTERGY ARKANSAS, LLC",DPP-2023,South,NRIS,
J3765,MISO,2024-04-18 04:00:00+00:00,Withdrawn,St. James,LA,ST JAMES,8.00,Hybrid,2024-04-18 04:00:00+00:00,"ENTERGY LOUISIANA, LLC",DPP-2023,South,ERIS,
J3763,MISO,2024-04-18 04:00:00+00:00,Active,Wayne,MI,DBGEN GIS,7.50,Thermal,2026-06-01 04:00:00+00:00,ITC,DPP-2023,East (ITC),NRIS,
J3761,MISO,2024-04-05 04:00:00+00:00,Active,Ogemaw,MI,GALLAGHER - TWINING 138.0kV,145.80,Solar,2027-11-01 04:00:00+00:00,METC,DPP-2023,East (ITC),NRIS,
J3750,MISO,2024-04-18 04:00:00+00:00,Active,Mercer,IL,OAK GROVE - SANDBURG (AMRN) 345.0kV,250.00,Wind,2028-10-30 04:00:00+00:00,MIDAMERICAN ENERGY CO.,DPP-2023,West,NRIS,
J3751,MISO,2024-04-18 04:00:00+00:00,Withdrawn,Madison,IL,7COFFEEN  - 7ROXFORD  345.0kV,236.00,Wind,2028-10-31 04:00:00+00:00,AMEREN ILLINOIS,DPP-2023,Central,NRIS,
